Name,Kills,Deaths,KDA
maple15,5,3,1.6666666666666667
supremebrick8,2,1,2.0
seamusr2,0,1,0.0
penguino3,6,0,6.0
seale21,0,1,0.0
doordasher03,7,4,1.75
natedeegan,1,4,0.25
seano32204,5,3,1.6666666666666667
maple15,5,3,1.6666666666666667
super_rupert,0,1,0.0
thomasgraham.,0,1,0.0
dogstown,0,1,0.0
dumby26,6,0,6.0
emilyf0767,1,1,1.0
kendra0826,0,1,0.0
jetpackzombie,3,2,1.5
napasaurus.,2,2,1.0
evan52303,1,3,0.3333333333333333
cmattos27,2,0,2.0
mic.ae.la,0,1,0.0
voidld,0,2,0.0
mikeshore,0,1,0.0
nota_line,2,2,1.0
devinhendricks,0,1,0.0
rg_skii,2,2,1.0
nokken29,2,0,2.0
thumbulusrat,0,2,0.0
noshareif,0,2,0.0
nangulo,2,0,2.0
blazinburito,1,1,1.0
superice0,2,1,2.0
.scoober,0,1,0.0
juliab6245,0,1,0.0
flimbogod,0,1,0.0
jag.1028,0,1,0.0
barter_bid,0,3,0.0
maradona_7.,1,0,1.0
calebbarton_,0,1,0.0
scholarlydanny,0,1,0.0
